prompt,focus,fun,knowledge
The session is a bunch of stuff you already know! Yippeeeeeee,-2,0,0
Lunch was an L,-2,-2,0
What's that?? A Opossum in a trash can? Who do I tell about this?,-2,5,0
Urgent Email From Advisor [TM]!! Incoming distraction!,-1,0,0
Guest Wifi is borked >:(((,-2,0,0
Discovered a cafe that's close!!,3,3,0
Incoming rain storm! Stay inside!,-1,1,0
Cold in the lecture room :(( But! I have my DSFP hoodie!!! Yay!!,1,1,1
github issues :////,0,-1,1
Bryan discovers one of your hyperfixations!!,1,3,2
You arrive in the dorm. The bathroom door doesn't lock., 0,-3,0
A rat ran over your foot in the metro!!,-1,-3,0
grass time :))))))))))))),3,3,0
